LOCATION,Year,G20 Value,Education Value,GDP Value,LifeExp Value,Population Value,TotalFertilityRate(LiveBirthsPerWoman),InfantMortalityRate(InfantDeathsPer1000LiveBirths),Unemployment Value
Canada,2020,38.007166,64.386749,47226.357276,81.7,38.007166,1.46,4.3,9.691667
Canada,2021,38.226498,66.357666,53023.405782,81.6,38.226498,1.46,4.3,7.541667
France,1983,54.772418,,12062.20014,74.8,54.772418,1.8,9,8.758333
France,1984,55.026074,,12624.890227,75.3,55.026074,1.81,8.5,10.05
France,1985,55.284271,,13169.628576,75.4,55.284271,1.82,8.4,10.38333
France,1986,55.546504,,13678.853418,75.7,55.546504,1.84,8.2,10.55
France,1987,55.823956,,14298.382473,76.3,55.823956,1.81,7.9,10.65
France,1988,56.117974,,15415.75365,76.6,56.117974,1.81,8,10.06667
France,1989,56.423411,17.731331,16616.746609,76.7,56.423411,1.79,7.6,9.675
France,1990,56.708826,,17645.96453,77.0,56.708826,1.78,7.4,9.366667
France,1991,58.425681,20.082354,18341.987902,77.2,58.425681,1.77,7.3,9.625
France,1992,58.711615,21.5602,18965.43462,77.5,58.711615,1.73,6.8,10.64167
France,1993,58.961049,,19209.673379,77.5,58.961049,1.66,6.4,11.825
France,1994,59.175335,24.265591,20008.098899,78.0,59.175335,1.66,6,12.275
France,1995,59.383991,25.39583,20782.665875,78.1,59.383991,1.71,5,11.95
France,1996,59.589289,,21362.732661,78.2,59.589289,1.73,4.8,12.4
France,1997,59.795263,27.807184,22247.339246,78.6,59.795263,1.72,4.8,12.33333
France,1998,60.011008,29.644657,23363.975956,78.8,60.011008,1.78,4.7,12.05
France,1999,60.315406,30.937677,24311.403864,78.9,60.315406,1.81,4.4,11.31667
France,2000,60.72478,31.375711,26099.7352,79.2,60.72478,1.88,4.6,9.558333
France,2001,61.163237,34.232525,27499.541566,79.3,61.163237,1.88,4.5,8.741667
France,2002,61.60455,36.053307,28528.156107,79.4,61.60455,1.87,4.2,8.633333
France,2003,62.037544,37.855179,28178.57676,79.3,62.037544,1.87,4.1,8.516666
France,2004,62.4908,38.220337,29065.215266,80.4,62.4908,1.9,4,8.9
France,2005,62.958328,39.776222,30504.058784,80.4,62.958328,1.92,3.7,8.883333
France,2006,63.393406,41.416058,32472.263308,81.0,63.393406,1.97,3.8,8.85
France,2007,63.781275,41.444328,34132.697684,81.3,63.781275,1.95,3.7,8.016666
France,2008,64.133174,40.825264,35102.870428,81.4,64.133174,1.99,3.7,7.433333
France,2009,64.458715,43.149895,34686.479663,81.6,64.458715,1.99,3.8,9.116667
France,2010,64.773169,42.87175,35910.195851,81.9,64.773169,2.02,3.6,9.275
France,2011,65.087317,42.988277,37447.949543,82.3,65.087317,2,3.4,9.216666
France,2012,65.402998,42.909988,37684.198067,82.1,65.402998,1.99,3.5,9.758333
France,2013,65.735961,44.055721,39528.473644,82.4,65.735961,1.97,3.6,10.3
France,2014,66.276671,44.726288,40144.059485,82.9,66.276671,1.98,3.5,10.275
France,2015,66.512558,44.687599,40829.893311,82.4,66.512558,1.93,3.6,10.35
France,2016,66.688563,44.036968,42855.944562,82.7,66.688563,1.89,3.6,10.06667
France,2017,66.883314,44.34428,44444.934559,82.7,66.883314,1.86,3.8,9.425
France,2018,67.125071,46.937691,46336.933985,82.8,67.125071,1.84,3.8,9.025
France,2019,67.349922,48.052528,50226.680167,83.0,67.349922,1.83,3.7,8.433333
France,2020,67.538482,49.449242,47829.935222,82.3,67.538482,1.79,3.7,8.033334
France,2021,67.738863,50.256466,50997.632933,82.4,67.738863,1.79,3.6,7.875
Germany,1991,80.013901,21.162483,21006.916849,75.7,80.013901,1.35,6.5,5.525
Germany,1992,80.624601,20.452166,21755.46889,76.2,80.624601,1.31,6.1,6.566667
Germany,1993,81.156368,,21932.079726,76.2,81.156368,1.29,5.8,7.791667
Germany,1994,81.438346,20.338358,22879.403869,76.6,81.438346,1.25,5.5,8.45
Germany,1995,81.678046,21.274153,23672.893332,76.7,81.678046,1.25,5.3,8.25
Germany,1996,81.914834,,24211.200418,77.0,81.914834,1.32,5.1,8.941667
Germany,1997,82.034775,21.040304,24730.827071,77.4,82.034775,1.36,4.8,9.675
Germany,1998,82.047197,21.545525,25532.748584,77.8,82.047197,1.36,4.6,9.45
Germany,1999,82.100243,21.528263,26510.228697,78.0,82.100243,1.36,4.5,8.625
Germany,2000,82.211501,22.250971,27456.262771,78.3,82.211501,1.38,4.4,8.008333
Germany,2001,82.349926,21.779524,28663.895351,78.6,82.349926,1.35,4.2,7.858333
Germany,2002,82.488493,21.739561,29504.28924,78.6,82.488493,1.34,4.2,8.683333
Germany,2003,82.534175,21.799734,30270.992251,78.6,82.534175,1.34,4.2,9.808333
Germany,2004,82.516268,22.942751,31741.875731,79.3,82.516268,1.36,4.1,10.5
Germany,2005,82.469421,22.494616,32236.740986,79.4,82.469421,1.34,3.9,11.28333
Germany,2006,82.376447,21.983997,34664.541909,79.9,82.376447,1.34,3.8,10.275
Germany,2007,82.266373,22.62182,36863.113348,80.1,82.266373,1.37,3.9,8.541667
Germany,2008,82.110097,23.916872,38432.448211,80.2,82.110097,1.38,3.5,7.425
Germany,2009,81.902308,25.655298,37465.456323,80.3,81.902308,1.36,3.5,7.225
Germany,2010,81.776936,26.133959,39675.00238,80.5,81.776936,1.39,3.5,6.575
Germany,2011,80.274981,27.67141,42541.513126,80.6,80.274981,1.39,3.6,5.516667
Germany,2012,80.425826,28.956329,43359.541048,80.7,80.425826,1.41,3.3,5.083333
Germany,2013,80.645605,29.995255,44993.667838,80.6,80.645605,1.42,3.3,4.95
Germany,2014,80.982495,28.422802,47011.280402,81.2,80.982495,1.47,3.3,4.708333
Germany,2015,81.686608,29.588667,47609.557159,80.7,81.686608,1.51,3.3,4.366667
Germany,2016,82.348669,30.527618,50579.483717,81.0,82.348669,1.59,3.5,3.908333
Germany,2017,82.657,31.308737,53071.478374,81.1,82.657,1.58,3.2,3.566667
Germany,2018,82.905788,32.281734,55195.722049,81.0,82.905788,1.56,3.2,3.208333
Germany,2019,83.092956,33.260235,57411.520685,81.3,83.092956,1.54,3.2,2.975
Germany,2020,83.160877,34.876732,56454.181109,81.1,83.160877,1.52,3.1,3.625
Germany,2021,83.196076,35.882999,59055.316879,80.8,83.196076,1.53,3.1,3.575
Italy,1983,56.564076,,12110.862982,74.8,56.564076,1.51,11.9,7.366667
Italy,1984,56.576719,,12949.675671,75.0,56.576719,1.46,11.1,7.833333
Italy,1985,56.59307,,13729.024239,75.6,56.59307,1.42,10.2,8.141666
Italy,1986,56.596157,,14405.277893,75.9,56.596157,1.35,9.9,8.883333
Italy,1987,56.601936,,15231.140207,76.3,56.601936,1.33,9.7,9.633333
Italy,1988,56.62929,,16421.843506,76.5,56.62929,1.36,9.3,9.7
Italy,1989,56.671778,6.7387791,17630.654373,77.0,56.671778,1.33,8.6,9.7
Italy,1990,56.719239,,18638.249886,77.1,56.719239,1.33,8.1,8.866667
Italy,1991,56.758522,6.5751195,19545.586433,77.1,56.758522,1.31,8.4,8.516666
Italy,1992,56.797078,6.7680349,20150.12707,77.5,56.797078,1.3,8.2,8.791667
Italy,1993,56.831823,,20439.351288,77.8,56.831823,1.25,6.9,9.725
Italy,1994,56.8434,7.898859,21320.510106,78.0,56.8434,1.22,6.4,10.65
Italy,1995,56.844301,8.2170544,22395.619943,78.3,56.844301,1.19,6.2,11.18333
Italy,1996,56.860279,,23058.967635,78.7,56.860279,1.2,6.1,11.16667
Italy,1997,56.890371,,23875.770827,79.0,56.890371,1.21,5.5,11.21667
Italy,1998,56.906744,8.9524889,25021.680907,79.1,56.906744,1.21,5.4,11.3
Italy,1999,56.916316,9.9974318,25602.386484,79.6,56.916316,1.24,5.1,10.86667
Italy,2000,56.942108,10.429003,27077.647701,79.9,56.942108,1.25,4.5,10.05
Italy,2001,56.976976,11.754972,28036.302758,80.3,56.976976,1.25,4.6,9.008333
Italy,2002,57.089823,12.461238,28721.076279,80.4,57.089823,1.27,4.4,8.475
Italy,2003,57.399187,12.695857,29154.663843,80.1,57.399187,1.29,3.7,8.433333
Italy,2004,57.828178,14.792785,29481.853691,80.9,57.828178,1.34,3.8,8.05
Italy,2005,58.166684,16.105026,30028.488979,80.9,58.166684,1.34,3.6,7.783333
Italy,2006,58.399863,17.283623,32309.294219,81.4,58.399863,1.37,3.5,6.866667
Italy,2007,58.756247,18.863468,33960.788711,81.6,58.756247,1.4,3.3,6.15
Italy,2008,59.211183,19.90484,35292.601856,81.7,59.211183,1.44,3.3,6.775
Italy,2009,59.555456,20.160688,34335.925384,81.8,59.555456,1.45,3.4,7.875
Italy,2010,59.819402,20.719744,34838.135774,82.2,59.819402,1.45,3.2,8.541667
Italy,2011,60.026844,20.983423,36203.328522,82.4,60.026844,1.43,3.1,8.508333
Italy,2012,60.191243,22.250719,36091.373957,82.4,60.191243,1.42,3,10.88333
Italy,2013,60.311616,22.744907,36267.925352,82.9,60.311616,1.38,2.9,12.36667
Italy,2014,60.320708,24.158854,36475.976061,83.2,60.320708,1.37,2.8,12.825
Italy,2015,60.229599,25.149963,37206.331822,82.7,60.229599,1.35,2.9,12.0
Italy,2016,60.11522,25.584146,40267.222623,83.4,60.11522,1.34,2.8,11.75
Italy,2017,60.002254,26.816479,41951.466331,83.1,60.002254,1.32,2.9,11.25833
Italy,2018,59.877216,27.863623,43427.663143,83.4,59.877216,1.29,2.8,10.6
Italy,2019,59.729077,27.931559,45799.741922,83.6,59.729077,1.27,2.4,9.933333
Italy,2020,59.438845,28.628069,43150.115981,82.3,59.438845,1.26,2.3,9.3
Italy,2021,59.133173,28.267422,47591.832142,82.7,59.133173,1.28,2.3,9.558333
Japan,1970,104.665171,,3348.832992,72.0,104.665171,2.09,13.5,1.15
Japan,1971,106.1,,3647.705468,72.9,106.1,2.1,12.8,1.225
Japan,1972,107.595,,4069.992935,73.2,107.595,2.11,11.8,1.416667
Japan,1973,109.104,,4532.01302,73.4,109.104,2.13,11.4,1.266667
Japan,1974,110.573,,4812.870739,73.7,110.573,2.06,10.7,1.375
Japan,1975,111.939643,,5355.131154,74.3,111.939643,1.94,9.7,1.891667
Japan,1976,113.094,,5809.31007,74.8,113.094,1.86,9.2,2.008333
Japan,1977,114.165,,6378.376732,75.3,114.165,1.81,8.8,2.025
Japan,1978,115.19,,7121.897178,75.7,115.19,1.79,8.3,2.241667
Japan,1979,116.155,,8068.34118,76.2,116.155,1.76,7.8,2.083333
Japan,1980,117.060396,,8973.783444,76.1,117.060396,1.75,7.3,2.008333
Japan,1981,117.902,,10168.273248,76.5,117.902,1.7,7,2.208333
Japan,1982,118.728,,11073.018179,76.9,118.728,1.72,6.6,2.35
Japan,1983,119.536,,11843.838707,77.0,119.536,1.75,6.2,2.658333
Japan,1984,120.305,,12730.496373,77.4,120.305,1.76,6,2.708333
Japan,1985,121.048923,,13725.849243,77.6,121.048923,1.74,5.4,2.616667
Japan,1986,121.66,,14390.877358,78.1,121.66,1.68,5.2,2.758333
Japan,1987,122.239,,15359.194724,78.5,122.239,1.69,4.9,2.85
Japan,1988,122.745,,16890.327305,78.4,122.745,1.66,4.8,2.533333
Japan,1989,123.205,,18348.322287,78.8,123.205,1.57,4.5,2.266667
Japan,1990,123.611167,,19891.091581,78.9,123.611167,1.53,4.6,2.108333
Japan,1991,124.101,,21204.240996,79.1,124.101,1.53,4.5,2.1
Japan,1992,124.567,,21800.918468,79.2,124.567,1.5,4.5,2.15
Japan,1993,124.938,,22149.219699,79.4,124.938,1.46,4.3,2.5
Japan,1994,125.265,,22834.751706,79.8,125.265,1.49,4.4,2.891667
Japan,1995,125.570246,,23865.913636,79.6,125.570246,1.42,4.2,3.15
Japan,1996,125.864,,25009.682085,80.3,125.864,1.43,3.8,3.35
Japan,1997,126.166,45.744064,25629.420659,80.5,126.166,1.39,3.7,3.4
Japan,1998,126.486,46.062992,25520.196541,80.6,126.486,1.38,3.7,4.108333
Japan,1999,126.686,45.76923,25744.916581,80.5,126.686,1.34,3.4,4.683333
Japan,2000,126.925843,47.844826,27289.851934,81.2,126.925843,1.37,3.3,4.716667
Japan,2001,127.291,48.525471,27946.083138,81.5,127.291,1.33,3.1,5.033333
Japan,2002,127.435,50.993023,28633.69892,81.8,127.435,1.32,3,5.375
Japan,2003,127.619,51.645981,29411.592882,81.8,127.619,1.29,3,5.258333
Japan,2004,127.687,52.640175,30837.175423,82.1,127.687,1.29,2.8,4.716667
Japan,2005,127.767994,53.185596,32174.400107,82.0,127.767994,1.27,2.8,4.425
Japan,2006,127.900515,54.074074,33638.841255,82.4,127.900515,1.32,2.7,4.141667
Japan,2007,128.032743,53.696037,35021.732224,82.6,128.032743,1.34,2.6,3.841667
Japan,2008,128.08396,55.060974,35278.749846,82.7,128.08396,1.37,2.6,3.991667
Japan,2009,128.031514,55.667507,33550.689549,83.0,128.031514,1.37,2.4,5.066667
Japan,2010,128.057352,56.70573,35342.824721,82.9,128.057352,1.39,2.3,5.05
Japan,2011,127.834233,58.721333,36215.006272,82.7,127.834233,1.39,2.4,4.583333
Japan,2012,127.592657,58.554874,37628.675989,83.2,127.592657,1.41,2.2,4.35
Japan,2013,127.413888,58.368496,39436.682585,83.4,127.413888,1.43,2.1,4.025
Japan,2014,127.23715,58.585857,39559.763471,83.7,127.23715,1.42,2.1,3.591667
Japan,2015,127.094745,59.646538,40908.781547,83.9,127.094745,1.44,2,3.375
Japan,2016,127.041812,60.120392,40642.704531,84.1,127.041812,1.43,2,3.116667
Japan,2017,126.918546,60.426178,41531.221619,84.2,126.918546,1.35,1.8,2.808333
Japan,2018,126.748506,60.730949,42264.585123,84.3,126.748506,1.33,1.9,2.441667
Japan,2019,126.555078,61.514194,42427.125075,84.4,126.555078,1.29,1.9,2.35
Japan,2020,126.146099,63.54916,41867.153393,84.6,126.146099,1.29,1.8,2.775
Japan,2021,125.50229,64.814812,42895.146536,84.5,125.50229,1.3,1.8,2.816667
Republic of Korea,1989,42.449038,,7402.41363,71.2,42.449038,1.58,14.6,2.583333
Republic of Korea,1990,42.869283,,8355.387935,71.7,42.869283,1.6,13.4,2.458333
Republic of Korea,1991,43.295704,,9474.577826,72.2,43.295704,1.67,12.4,2.45
Republic of Korea,1992,43.747962,,10184.846816,72.6,43.747962,1.7,11.4,2.525
Republic of Korea,1993,44.194628,,11030.619105,73.1,44.194628,1.67,10.5,2.9
Republic of Korea,1994,44.64154,,12187.129391,73.5,44.64154,1.65,9.8,2.475
Republic of Korea,1995,45.092991,28.806385,13502.580041,73.8,45.092991,1.63,9,2.066667
Republic of Korea,1996,45.524681,,14693.993279,74.2,45.524681,1.58,8.4,2.058333
Republic of Korea,1997,45.95358,30.871248,15721.561966,74.7,45.95358,1.55,7.8,2.616667
Republic of Korea,1998,46.286503,33.83152,14974.498788,75.1,46.286503,1.49,7.4,6.95
Republic of Korea,1999,46.616677,34.837105,16807.013023,75.5,46.616677,1.45,6.9,6.583333
Republic of Korea,2000,47.008111,36.81242,18538.879306,76.0,47.008111,1.42,6.5,4.425
Republic of Korea,2001,47.370164,38.955528,19724.494236,76.5,47.370164,1.3,6.1,4.0
Republic of Korea,2002,47.644736,41.017273,21396.719189,76.8,47.644736,1.2,5.8,3.258333
Republic of Korea,2003,47.89233,46.514172,22096.023078,77.3,47.89233,1.17,5.5,3.55
Republic of Korea,2004,48.082519,49.056168,23773.590825,77.8,48.082519,1.14,5.1,3.658333
Republic of Korea,2005,48.184561,50.858059,25186.638103,78.2,48.184561,1.1,4.7,3.75
Republic of Korea,2006,48.438292,52.953865,26884.429402,78.8,48.438292,1.13,4.4,3.475
Republic of Korea,2007,48.683638,55.490356,29064.701966,79.2,48.683638,1.19,4.1,3.258333
Republic of Korea,2008,49.054708,57.842369,29945.899216,79.6,49.054708,1.18,3.8,3.175
Republic of Korea,2009,49.307835,60.575958,29508.282758,80.0,49.307835,1.17,3.6,3.633333
Republic of Korea,2010,49.554112,61.449047,31736.700156,80.2,49.554112,1.22,3.5,3.708333
Republic of Korea,2011,49.936638,63.734528,32546.517725,80.6,49.936638,1.25,3.3,3.408333
Republic of Korea,2012,50.199853,65.603264,33557.030447,80.9,50.199853,1.26,3.2,3.225
Republic of Korea,2013,50.428893,67.088554,34244.239492,81.4,50.428893,1.21,3.1,3.1
Republic of Korea,2014,50.746659,67.665947,35324.260296,81.8,50.746659,1.2,3,3.491667
Republic of Korea,2015,51.014947,68.861946,37902.361018,82.1,51.014947,1.2,2.9,3.591667
Republic of Korea,2016,51.217803,69.851555,39575.302078,82.4,51.217803,1.15,2.8,3.675
Republic of Korea,2017,51.361911,69.752068,40957.347064,82.7,51.361911,1.05,2.7,3.683333
Republic of Korea,2018,51.585058,69.574219,43044.340145,82.7,51.585058,0.97,2.7,3.833333
Republic of Korea,2019,51.764822,69.802818,43410.152957,83.3,51.764822,0.91,2.6,3.783333
Republic of Korea,2020,51.836239,69.812752,44694.939796,83.5,51.836239,0.89,2.5,3.941667
Republic of Korea,2021,51.744876,69.288513,47068.423631,83.6,51.744876,0.88,2.4,3.675
Mexico,1987,79.339498,,6171.62267,70.1,79.339498,3.8,41.2,3.883333
Mexico,1988,80.970606,,6340.201974,70.2,80.970606,3.65,39.6,3.541667
Mexico,1989,82.579032,,6731.458394,70.5,82.579032,3.55,37.9,2.925
Mexico,1990,84.169571,,7196.211257,70.9,84.169571,3.45,36.3,2.741667
Mexico,1991,85.748742,,7616.689733,71.6,85.748742,3.37,34.8,2.691667
Mexico,1992,87.312337,,7938.419674,71.9,87.312337,3.29,33.3,2.783333
Mexico,1993,88.850856,,8280.532735,72.0,88.850856,3.22,31.9,3.425
Mexico,1994,90.362709,,8736.564824,72.3,90.362709,3.13,30.5,3.641667
Mexico,1995,91.843905,,8231.658739,72.2,91.843905,3.04,29.2,6.266667
Mexico,1996,93.294783,,8820.661494,72.7,93.294783,2.96,27.9,5.525
Mexico,1997,94.720541,16.726521,9456.139259,73.1,94.720541,2.87,26.7,3.735
Mexico,1998,96.11696,16.657288,9925.675065,73.5,96.11696,2.8,25.6,3.16
Mexico,1999,97.482584,16.283022,10216.053137,74.0,97.482584,2.77,24.5,2.505
Mexico,2000,98.785275,17.454798,10870.092123,74.7,98.785275,2.72,23.4,2.505833
Mexico,2001,100.105299,18.090631,10937.137897,75.0,100.105299,2.67,22.4,2.756667
Mexico,2002,101.493987,18.558001,10999.980338,75.1,101.493987,2.62,21.5,2.978333
Mexico,2003,102.890474,18.899502,11308.492366,75.1,102.890474,2.58,20.7,3.405833
Mexico,2004,104.272444,19.467903,11926.995989,75.4,104.272444,2.54,19.9,3.915833
Mexico,2005,105.669369,14.924469,12521.726831,75.2,105.669369,2.5,19.2,3.595785
Mexico,2006,107.155391,15.65289,13703.791516,75.5,107.155391,2.46,18.5,3.596744
Mexico,2007,108.744845,16.287527,14215.817736,75.4,108.744845,2.42,17.8,3.721604
Mexico,2008,110.405454,16.384148,14859.233988,75.2,110.405454,2.39,17.2,3.974655
Mexico,2009,112.095388,17.244875,14497.970039,74.9,112.095388,2.36,16.7,5.479068
Mexico,2010,113.748671,17.700443,15228.501123,74.8,113.748671,2.34,16.1,5.380876
Mexico,2011,115.367452,18.792442,16521.774435,74.9,115.367452,2.32,15.6,5.233573
Mexico,2012,116.93567,20.029097,17195.057014,75.0,116.93567,2.29,15.1,4.952769
Mexico,2013,118.453929,20.856949,17437.042083,75.0,118.453929,2.27,14.6,4.929466
Mexico,2014,119.936411,20.312202,18153.351036,75.0,119.936411,2.21,14.2,4.828958
Mexico,2015,121.3478,20.806568,18430.218897,74.7,121.3478,2.14,13.7,4.352943
Mexico,2016,122.715165,21.791378,19791.259772,74.8,122.715165,2.09,13.3,3.881356
Mexico,2017,124.041731,22.555721,20201.856549,74.9,124.041731,2.04,12.8,3.419046
Mexico,2018,125.327797,23.359127,20561.246895,75.0,125.327797,2,12.4,3.320195
Mexico,2019,126.577691,23.587111,20244.557477,75.1,126.577691,1.92,12,3.490462
Mexico,2020,127.792286,25.290871,18465.575374,75.2,127.792286,1.91,11.6,4.431634
Mexico,2021,128.972439,27.056374,19438.782132,75.4,128.972439,1.82,11.3,4.138621
Türkiye,2005,68.43538,12.508089,11910.606724,73.1,68.43538,2.22,21.8,9.508333
Türkiye,2006,69.295253,13.459621,13640.767727,73.4,69.295253,2.23,20.3,9.066667
Türkiye,2007,70.1581115,14.199503,14864.955058,73.7,70.1581115,2.2,18.9,9.158334
